group,team,code,bet365,Skybet,Paddy Power,William Hill,888sport,Betfair Sportsbook,BetVictor,Coral,Unibet,Spreadex,Betfred,BetMGM UK,BoyleSports,10bet,Star Sports,BetUK,Sporting Index,LiveScore Bet,QuinnBet,Betway,Ladbrokes,Midnite,BetGoodwin,VBet,AK Bets,Betfair,Matchbook
A,Switzerland,SUI,66.0,66.0,80.0,80.0,80.0,80.0,80.0,66.0,66.0,50.0,50.0,66.0,66.0,75.0,80.0,66.0,50.0,66.0,66.0,80.0,66.0,50.0,66.0,66.0,85.0,92.0,92.0
D,Austria,AUT ,80.0,66.0,80.0,80.0,80.0,80.0,66.0,50.0,80.0,50.0,50.0,80.0,66.0,75.0,80.0,80.0,50.0,80.0,80.0,80.0,50.0,75.0,80.0,80.0,85.0,82.0,82.0
F,Turkey,TUR,50.0,66.0,66.0,50.0,50.0,66.0,66.0,66.0,50.0,66.0,50.0,50.0,50.0,50.0,80.0,50.0,66.0,50.0,50.0,50.0,66.0,50.0,50.0,50.0,90.0,107.0,107.0
C,Serbia,SRB,80.0,66.0,80.0,80.0,80.0,80.0,100.0,66.0,66.0,66.0,80.0,66.0,80.0,80.0,80.0,66.0,66.0,66.0,80.0,80.0,66.0,70.0,80.0,66.0,110.0,117.0,117.0
E,Ukraine,UKR ,100.0,100.0,125.0,100.0,100.0,125.0,80.0,66.0,100.0,50.0,100.0,100.0,80.0,100.0,125.0,100.0,50.0,100.0,100.0,100.0,66.0,100.0,100.0,100.0,110.0,126.0,126.0
A,Hungary,HUN,80.0,100.0,100.0,80.0,80.0,100.0,100.0,80.0,80.0,100.0,80.0,80.0,66.0,80.0,150.0,80.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,150.0,117.0,117.0
A,Scotland,SCO ,100.0,150.0,150.0,100.0,100.0,150.0,150.0,100.0,100.0,175.0,150.0,100.0,100.0,100.0,150.0,100.0,175.0,100.0,100.0,100.0,100.0,70.0,100.0,80.0,175.0,234.0,234.0
D,Poland,POL ,150.0,150.0,200.0,100.0,100.0,200.0,150.0,150.0,150.0,200.0,125.0,150.0,80.0,150.0,175.0,150.0,200.0,150.0,150.0,150.0,150.0,100.0,150.0,150.0,200.0,264.0,264.0
E,Romania,ROU,200.0,200.0,200.0,125.0,125.0,200.0,200.0,150.0,200.0,150.0,200.0,200.0,150.0,200.0,300.0,200.0,150.0,200.0,200.0,200.0,150.0,200.0,200.0,200.0,175.0,185.0,185.0
E,Slovakia,SVK ,500.0,250.0,500.0,500.0,500.0,500.0,500.0,250.0,500.0,500.0,400.0,500.0,200.0,450.0,500.0,500.0,500.0,500.0,450.0,200.0,250.0,500.0,450.0,500.0,625.0,891.0,891.0
C,Slovenia,SVN,250.0,200.0,500.0,250.0,250.0,500.0,250.0,200.0,250.0,300.0,200.0,250.0,300.0,250.0,500.0,250.0,300.0,250.0,250.0,250.0,200.0,250.0,250.0,250.0,625.0,881.0,881.0
F,Georgia,GEO ,500.0,500.0,500.0,500.0,500.0,500.0,750.0,500.0,500.0,500.0,500.0,500.0,250.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,750.0,881.0,891.0
B,Albania,ALB ,500.0,500.0,500.0,300.0,300.0,500.0,500.0,250.0,500.0,500.0,350.0,500.0,500.0,450.0,750.0,500.0,500.0,500.0,450.0,350.0,250.0,250.0,450.0,500.0,750.0,901.0,910.0
